ID,Surname,First_name,Full_name,Birth_date,Death_date,Artist_id,Biography,Image_link
0,Defeuille,Louis Benjamin Huber,Louis Benjamin Huber Defeuille,Unknown,Unknown      ,0,Biography could not be found,../static/img/anonymous_artist.png
2,Unknown,blank_,Unknown,Unknown,Unknown,2,Biography could not be found,../static/img/anonymous_artist.png
4,Nini,Jean-Baptiste,Jean-Baptiste Nini,1717,1786,3,Biography could not be found,../static/img/anonymous_artist.png
5,Sanford,H.,H. Sanford,1783,1822,4,Biography could not be found,../static/img/anonymous_artist.png
6,Babcock,William P.,William P. Babcock,1826,1899,5,Biography could not be found,../static/img/anonymous_artist.png
7,Stuart,Gilbert,Gilbert Stuart,1755,1828,6,"s foremost portraitists. His best known work is the unfinished portrait of George Washington, begun in 1796, that is sometimes referred to as the Athenaeum Portrait. Stuart retained the portrait and used it to paint scores of copies that were commissioned by patrons in America and abroad. The image of George Washington featured in the painting has appeared on the United States one-dollar bill for more than a century and on various postage stamps of the 19th century and early 20th century.",../static/img/anonymous_artist.png
9,Inman,Henry,Henry Inman,1801,1846,8,Biography could not be found,../static/img/anonymous_artist.png
10,La Farge,John,John La Farge,1835,1910,9,"John La Farge  was an American painter, muralist, stained glass window maker, decorator, and writer.",../static/img/anonymous_artist.png
11,Ryder,Albert Pinkham,Albert Pinkham Ryder,1847,1917,10,"Albert Pinkham Ryder  was an American painter best known for his poetic and moody allegorical works and seascapes, as well as his eccentric personality. While his art shared an emphasis on subtle variations of color with tonalist works of the time, it was unique for accentuating form in a way that some art historians regard as modernist.",//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Portrait_of_John_LaFarge.jpg/220px-Portrait_of_John_LaFarge.jpg
12,Abbey,Edwin Austin,Edwin Austin Abbey,1852,1911,11,"Edwin Austin Abbey RA  was an American muralist, illustrator, and painter. He flourished at the beginning of what is now referred to as the ""golden age"" of illustration, and is best known for his drawings and paintings of Shakespearean and Victorian subjects, as well as for his painting of Edward VII's coronation. His most famous set of murals, The Quest and Achievement of the Holy Grail, adorns the Boston Public Library.",//upload.wikimedia.org/wikipedia/commons/thumb/3/39/Albert_Pinkham_Ryder.jpg/220px-Albert_Pinkham_Ryder.jpg
13,Alexander,Francis,Francis Alexander,1800,1880,12,Francis Alexander  was an American portrait-painter.,//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Edwin_Austin_Abbey_cropped.jpg/220px-Edwin_Austin_Abbey_cropped.jpg
14,Alexander,Henry,Henry Alexander,1860,1894,13,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/SelfPortrait_ca1830_byFrancisAlexander_MFABoston.jpeg/220px-SelfPortrait_ca1830_byFrancisAlexander_MFABoston.jpeg
15,Alexander,John White,John White Alexander,1856,1915,14,"John White Alexander  was an American portrait, figure, and decorative painter and illustrator.",../static/img/anonymous_artist.png
16,Allston,Washington,Washington Allston,1779,1843,15,s Romantic movement of landscape painting. He was well known during his lifetime for his experiments with dramatic subject matter and his bold use of light and atmospheric color.,//upload.wikimedia.org/wikipedia/commons/thumb/f/f5/John_White_Alexander.jpg/220px-John_White_Alexander.jpg
17,Ames,Ezra,Ezra Ames,1768,1836,16,"Ezra Ames  was a popular portrait painter in Albany, New York during the late 18th and early 19th centuries.  More than 700 portraits have been attributed to him.",//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Washington_Allston.jpeg/220px-Washington_Allston.jpeg
18,Ames,Joseph Alexander,Joseph Alexander Ames,1816,1872,17,"Joseph Alexander Ames  was an American artist, primarily known for portrait and genre painting. Originally named Joseph Emes, he was born in Roxbury, New Hampshire. Ames began painting at a young age. At the age of twelve Henry Theodore Tuckerman wrote about one of his paintings. After moderate success at home in Saugus, Massachusetts, he left for Boston in 1841. While in Boston, Ames tried to replicate the style of Washington Allston. In 1848, Ames traveled to Rome, where he painted a portrait of Pope Pius IX that was featured at the National Academy of Design's annual exhibition in 1850. When he returned from Italy he was commissioned by Rufus Choate, Daniel Webster, and Abraham Lincoln. He kept a studio in Boston in Amory Hall , and later on Tremont Street , and then on Summer Street. Ames exhibited at the Boston Athenæum, the National Academy of Design, and the Pennsylvania Academy. He eventually moved to Baltimore, and then to New York, where he died of a ""brain fever"".",//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Joseph_Brant_by_Ezra_Ames.jpg/200px-Joseph_Brant_by_Ezra_Ames.jpg
19,Andrews,Ambrose,Ambrose Andrews,1801,1877,18,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Joseph_Ames_by_Kilburn_1859.png/220px-Joseph_Ames_by_Kilburn_1859.png
20,Anshutz,Thomas,Thomas Anshutz,1851,1912,19,"Thomas Pollock Anshutz  was an American painter and teacher. Co-founder of The Darby School and leader at the Pennsylvania Academy of Fine Arts, Anshutz was known for his award-winning portraiture work and working friendship with Thomas Eakins.",../static/img/anonymous_artist.png
21,Audubon,John Woodhouse,John Woodhouse Audubon,1812,1862,20,"John Woodhouse Audubon  was the second son of the famed ornithologist and painter, John James Audubon. Like his father, he was primarily a painter of wildlife, but also did some portraits and genre scenes of the westward migration.",//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/TPAnshutz.jpg/220px-TPAnshutz.jpg
22,Badger,Joseph,Joseph Badger,1708,1765,21,"Joseph Badger  was a portrait artist in Boston, Massachusetts, in the 18th century. He was born in Charlestown, Massachusetts, to tailor Stephen Badger and Mercy Kettell. He ""began his career as a house-painter and glazier, and ... throughout his life continued this work, besides painting signs, hatchments and other heraldic devices, in order to eke out a livelihood when orders for portraits slackened."" In 1731 he married Katharine Felch; they moved to Boston around 1733.  He was a member of the Brattle Street Church. He died in Boston in May, 1765, when ""taken with an apoplectic fit as he was walking in his garden, and expired in a few minutes after."" Works by Badger are in the collections of the Worcester Art Museum, the Museum of Fine Arts Boston, and Historic New England's Phillips House, Salem, Mass.",//upload.wikimedia.org/wikipedia/commons/thumb/2/29/John_Woodhouse_Audubon.jpg/215px-John_Woodhouse_Audubon.jpg
24,Baker,George Augustus Jr.,George Augustus Jr. Baker,1821,1880,23,Biography could not be found,../static/img/anonymous_artist.png
25,Bean,W. H.,W. H. Bean,1830,1900,24,Biography could not be found,../static/img/anonymous_artist.png
27,Beckwith,J. Carroll,J. Carroll Beckwith,1852,1917,26,"James Carroll Beckwith  was an American landscape, portrait and genre painter whose Naturalist style led to his recognition in the late nineteenth and very early twentieth century as a respected figure in American art.",../static/img/anonymous_artist.png
28,Benbridge,Henry,Henry Benbridge,1743,1812,27,"Henry Benbridge  – February 1812) was an early American portrait painter. He was born in Philadelphia, the only child of James and Mary  Benbridge. When he was seven years old, his mother, who had been left a widow, was married to Thomas Gordon, a wealthy Scot. The boy's artistic talent was encouraged. He made decorative designs for his stepfather's drawing-room which were much admired. When he was fourteen years old he may have watched John Wollaston paint Gordon's portrait. It has been plausibly argued that young Benbridge had instruction from Wollaston, since his earliest known portrait, that of his half-sister Rebecca Gordon, ""seems to hark back to Wollaston."" When he was 21, Benbridge was sent to Italy, where he studied with Pompeo Batoni and Anton Raphael Mengs. In 1769, on commission from James Boswell, biographer of Dr. Samuel Johnson, he made a portrait of Pasquale Paoli in Corsica which he took to London. It was exhibited  at the Free Society of Artists, and from it three mezzotints were scraped and published with the artist's name signed ""Bembridge."" Like other young Americans he was encouraged by Benjamin West. He wrote, on December 7, 1769, to his stepfather: ""Upon my arrival I waited upon Mr. West who received me with a sort of brotherly affection, as did my cousin, Mrs. West."" Impelled, apparently, by a longing to rejoin his family, he left England in 1770, bearing from West the following note of recommendation to Francis Hopkinson: ""By Mr. Benbridge you will receive these few lines. You will find him an Ingenous artist and an agreeable Companion. His merit in the art must procure him great incouragement and much esteem. I deare say it will give you great pleasure to have an ingenous artist resident amongst you.""",//upload.wikimedia.org/wikipedia/commons/thumb/3/38/James-carroll-beckwith.jpg/220px-James-carroll-beckwith.jpg
30,Bierstadt,Albert,Albert Bierstadt,1830,1902,29,"Albert Bierstadt  was a German-American painter best known for his lavish, sweeping landscapes of the American West. He joined several journeys of the Westward Expansion to paint the scenes. He was not the first artist to record the sites, but he was the foremost painter of them for the remainder of the 19th century.",../static/img/anonymous_artist.png
31,Bingham,George Caleb,George Caleb Bingham,1811,1879,30,"George Caleb Bingham  was an American artist, soldier and politician known in his lifetime as ""the Missouri Artist"". Initially a Whig, he was elected as a delegate to the Missouri legislature before the American Civil War where he fought the extension of slavery westward. During that war, although born in Virginia, Bingham was dedicated to the Union cause and became captain of a volunteer company which helped keep the state from joining the Confederacy, and then served four years as Missouri's Treasurer. During his final years, Bingham held several offices in Kansas City, while also serving as Missouri's Adjutant General. His paintings of American frontier life  along the Missouri River exemplify the Luminist style.",//upload.wikimedia.org/wikipedia/commons/6/6b/Bierstadt.jpg
32,Blackburn,Joseph,Joseph Blackburn,1715,1815,31,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/George_Caleb_Bingham_-_Self-Portrait_of_the_Artist.jpg/220px-George_Caleb_Bingham_-_Self-Portrait_of_the_Artist.jpg
35,Blondel,Jacob D.,Jacob D. Blondel,1817,1877,34,Biography could not be found,../static/img/anonymous_artist.png
36,Blum,Robert Frederick,Robert Frederick Blum,1857,1903,35,"Robert Frederick Blum  was an American artist. He was one of the youngest members of the National Academy of Design, was President of the Painters in Pastel, a member of the Society of American Artists, and the American Watercolor Society.",../static/img/anonymous_artist.png
37,Blythe,David Gilmour,David Gilmour Blythe,1815,1865,36,s pre-eminent nineteenth-century painter.,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Etching_of_Robert_Frederick_Blum.jpg/220px-Etching_of_Robert_Frederick_Blum.jpg
38,Boetticher,Otto,Otto Boetticher,1816,1865,37,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/5/51/David_Gilmour_Blythe_-_Man_Eating_in_a_Field.jpg/220px-David_Gilmour_Blythe_-_Man_Eating_in_a_Field.jpg
41,Bradford,William,William Bradford,1823,1892,40,Biography could not be found,../static/img/anonymous_artist.png
42,Bradley,John,John Bradley,1790,1890,41,Biography could not be found,../static/img/anonymous_artist.png
43,Bricher,Alfred Thompson,Alfred Thompson Bricher,1837,1908,42,Alfred Thompson Bricher  was a painter associated with White Mountain art and the Hudson River School.,../static/img/anonymous_artist.png
44,Brown,George Loring,George Loring Brown,1814,1889,43,"George Loring Brown   was an American landscape painter.  He was born in Boston and first studied wood engraving under Alonzo Hartwell and worked as an illustrator.  He studied painting with Washington Allston, but soon went to Europe, residing principally in Italy for years.  Brown spent much of his life abroad, and the motives of his pictures are usually Italian, and there is nothing specifically American about them either in treatment or sentiment.  Among the best are ""Sunset in Genoa"" , ""Doges' Palace and Grand Canal,"" ""Bay of Naples,"" ""Niagara Falls in Moonlight.""  ""The Bay of New York""  was acquired by King Edward VII when visiting America as Prince of Wales.",//upload.wikimedia.org/wikipedia/commons/e/e3/Alfred_Thompson_Bricher.jpg
45,Brown,John George,John George Brown,1831,1913,44,John George Brown  was a British citizen and an American painter who specialized in genre scenes. ,//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/1891_GeorgeLBrown_Boston.png/156px-1891_GeorgeLBrown_Boston.png
46,Brown,Mather,Mather Brown,1761,1831,45,"Mather Brown  was a portrait and historical painter, born in Boston, Massachusetts, but active in England.",//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/John_George_Brown_-_Self-portrait_%281908%29.jpg/220px-John_George_Brown_-_Self-portrait_%281908%29.jpg
49,Bunce,William Gedney,William Gedney Bunce,1840,1916,48,Biography could not be found,../static/img/anonymous_artist.png
50,Bunker,Dennis Miller,Dennis Miller Bunker,1861,1890,49,"Dennis Miller Bunker  was an American painter and innovator of American Impressionism. His mature works include both brightly colored landscape paintings and dark, finely drawn portraits and figures. One of the major American painters of the late 19th century, and a friend of many prominent artists of the era, Bunker died from meningitis at the age of 29.",../static/img/anonymous_artist.png
54,Cafferty,James H.,James H. Cafferty,1819,1869,53,Biography could not be found,../static/img/anonymous_artist.png
55,Carlin,John,John Carlin,1813,1891,54,Biography could not be found,../static/img/anonymous_artist.png
58,Casilear,John William,John William Casilear,1811,1893,57,John William Casilear  was an American landscape artist belonging to the Hudson River School.,../static/img/anonymous_artist.png
60,Leslie,Charles Robert,Charles Robert Leslie,1794,1859,59,Charles Robert Leslie RA  was an English genre painter.,../static/img/anonymous_artist.png
61,Edmonds,Francis William,Francis William Edmonds,1806,1863,60,Francis William Edmonds  was an American painter of genre subjects.,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Charles_Robert_Leslie_by_Charles_Robert_Leslie.jpg/220px-Charles_Robert_Leslie_by_Charles_Robert_Leslie.jpg
63,Chambers,Thomas,Thomas Chambers,1808,1867,62,Biography could not be found,../static/img/anonymous_artist.png
65,Chapman,John Gadsby,John Gadsby Chapman,1808,1889,64,"John Gadsby Chapman  was an American artist famous for Baptism of Pocahontas, which was commissioned by the United States Congress and hangs in the United States Capitol rotunda.",../static/img/anonymous_artist.png
66,Chappel,Alonzo,Alonzo Chappel,1828,1887,65,"Alonzo Chappel  was an American painter, best known for paintings depicting personalities and events from the American Revolution and early 19th-century American history.",//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Baptism_of_Pocahontas.jpg/300px-Baptism_of_Pocahontas.jpg
67,Chappel,William P.,William P. Chappel,1801,1878,66,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/4/4a/Alonzo_Chappel.jpg
68,Chase,William Merritt,William Merritt Chase,1849,1916,67,"William Merritt Chase  was an American painter, known as an exponent of Impressionism and as a teacher. He is also responsible for establishing the Chase School, which later would become Parsons School of Design.",../static/img/anonymous_artist.png
69,Chinnery,George,George Chinnery,1774,1852,68,"George Chinnery  was an English painter who spent most of his life in Asia, especially India and southern China.",//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/William_Merritt_Chase.jpg/220px-William_Merritt_Chase.jpg
70,Church,Frederic Edwin,Frederic Edwin Church,1826,1900,69,"s paintings put an emphasis on realistic detail, dramatic light, and panoramic views. He debuted some of his major works in single-painting exhibitions to a paying and often enthralled audience in New York City. In his prime, he was one of the most famous painters in the United States.",//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/George_Chinnery_by_George_Chinnery.jpg/220px-George_Chinnery_by_George_Chinnery.jpg
71,Coates,Edmund C.,Edmund C. Coates,1837,1872,70,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/0/05/Frederic_Edwin_Church_-_Brady-Handy_%28cropped%29.jpg/220px-Frederic_Edwin_Church_-_Brady-Handy_%28cropped%29.jpg
73,Cole,Thomas,Thomas Cole,1801,1848,72,s work is known for its romantic portrayal of the American wilderness.,../static/img/anonymous_artist.png
74,Collins,Alfred Q.,Alfred Q. Collins,1855,1903,73,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Thomas_Cole.jpg/220px-Thomas_Cole.jpg
75,Colman,Samuel,Samuel Colman,1832,1920,74,"Samuel Colman  was an American painter, interior designer, and writer, probably best remembered for his paintings of the Hudson River.",../static/img/anonymous_artist.png
77,Cook,Nelson,Nelson Cook,1808,1892,76,"Nelson Cook  was an American portraitist and ""occasional poet.""",../static/img/anonymous_artist.png
79,Copestick,Alfred,Alfred Copestick,1837,1859,78,Biography could not be found,../static/img/anonymous_artist.png
80,Copley,John Singleton,John Singleton Copley,1738,1815,79,"John Singleton Copley RA  – September 9, 1815) was an Anglo-American painter, active in both colonial America and England. He was probably born in Boston, Massachusetts, to Richard and Mary Singleton Copley, both Anglo-Irish. After becoming well-established as a portrait painter of the wealthy in colonial New England, he moved to London in 1774, never returning to America.  In London he met considerable success as a portraitist for the next two decades, and also painted a number of large history paintings, which were innovative in their readiness to depict modern subjects and modern dress.  His later years were less successful, and he died heavily in debt.",../static/img/anonymous_artist.png
85,Cropsey,Jasper Francis,Jasper Francis Cropsey,1823,1900,84,Jasper Francis Cropsey  was an important American landscape artist of the Hudson River School.,../static/img/anonymous_artist.png
86,Culverhouse,Johan Mengels,Johan Mengels Culverhouse,1820,1891,85,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Jasper_Francis_Copsey%2C_by_Edward_L._Mooney.jpg/220px-Jasper_Francis_Copsey%2C_by_Edward_L._Mooney.jpg
89,Dana,William P. W.,William P. W. Dana,1833,1927,88,Biography could not be found,../static/img/anonymous_artist.png
98,Donoho,Ruger,Ruger Donoho,1858,1916,97,Biography could not be found,../static/img/anonymous_artist.png
