Null,Object_id,Object_type,Title,Date_start,Date_finis,Medium,Classification,Met_link,Artist_id,Dept_id
0,466,Painting,Plaque Portrait of Benjamin Franklin,1800,1883,Ivory,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25582.jpg,0,0
1,470,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Probably porcelain,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25581.jpg,2,0
3,472,Painting,Portrait of Benjamin Franklin,1776,1883,Panel,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25595.jpg,2,0
5,473,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Ivory,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25598.jpg,2,0
7,474,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Oil on cardboard,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25599.jpg,2,0
9,475,Painting,Portrait of Benjamin Franklin,1776,1883,Ivory,Natural Substances,https://images.metmuseum.org/CRDImages/ad/original/25602.jpg,2,0
11,482,Painting,Portrait of Benjamin Franklin,1776,1883,Oil on wood,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25894_83.2.234.jpg,2,0
13,483,Painting,Portrait of Benjamin Franklin,1776,1883,Panel,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25596.jpg,2,0
15,484,Painting,Medallion of Benjamin Franklin,1776,1883,Oil on wood,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25593.jpg,2,0
17,486,Painting,Portrait of Benjamin Franklin,1776,1883,Canvas,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25894.jpg,2,0
19,500,Painting,Portrait of Benjamin Franklin,1800,1883,Silk,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25656.jpg,2,0
21,3963,Painting,Plaque of George Washington,1800,1830,Porcelain,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25460.jpg,2,0
23,3971,Painting,Portrait of George Washington,1800,1830,Oil on wood,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25568.jpg,2,0
25,5896,Painting,Plaque of George Washington,1770,1800,Enamel,Paintings,https://images.metmuseum.org/CRDImages/ad/original/25388.jpg,2,0
27,12873,Painting,Commodore Hopkins,1776,1776,Oil on glass,Paintings,https://images.metmuseum.org/CRDImages/ad/original/116218.jpg,2,0
29,12895,Painting,George Washington,1797,1797,Oil on glass,Paintings,https://images.metmuseum.org/CRDImages/ad/original/116220.jpg,2,0
31,12899,Painting,George Washington,1775,1775,Oil on glass,Paintings,https://images.metmuseum.org/CRDImages/ad/original/116219.jpg,2,0
33,12902,Painting,Harbor Scene,1787,1790,Oil on glass,Paintings,https://images.metmuseum.org/CRDImages/ad/original/157006.jpg,2,0
35,12920,Painting,John Hancock,1770,1800,Oil on glass,Paintings,https://images.metmuseum.org/CRDImages/ad/original/116221.jpg,2,0
37,12929,Painting,Liberty,1797,1800,verre églomisé,Glass,https://images.metmuseum.org/CRDImages/ad/original/DP205026.jpg,2,0
39,12947,Painting,Memorial to Jane Amanda Fenn,1840,1843,Oil on glass,Paintings,https://images.metmuseum.org/CRDImages/ad/original/181609.jpg,2,0
