Null,Color_Name,Group
1,pink,Pink
1,lightpink,Pink
1,hotpink,Pink
1,deeppink,Pink
1,palevioletred,Pink
1,mediumvioletred,Pink
1,lavender,Purple
1,thistle,Purple
1,plum,Purple
1,orchid,Purple
1,violet,Purple
1,fushia,Purple
1,magenta,Purple
1,mediumorchid,Purple
1,darkorchid,Purple
1,darkviolet,Purple
1,blueviolet,Purple
1,darkmagenta,Purple
1,purple,Purple
1,mediumpurple,Purple
1,mediumslateblue,Purple
1,slateblue,Purple
1,darkslateblue,Purple
1,rebeccapurple,Purple
1,indigo,Purple
1,lightsalmon,Red
1,salmon,Red
1,darksalmon,Red
1,lightcoral,Red
1,indianred,Red
1,crimson,Red
1,red,Red
1,firebrick,Red
1,darkred,Red
1,orange,Orange
1,darkorange,Orange
1,coral,Orange
1,tomato,Orange
1,orangered,Orange
1,gold,Yellow
1,yellow,Yellow
1,lightyellow,Yellow
1,lemonchiffon,Yellow
1,lightgoldenrodyellow,Yellow
1,papayawhip,Yellow
1,moccasin,Yellow
1,peachpuff,Yellow
1,palegoldenrod,Yellow
1,khaki,Yellow
1,darkkhaki,Yellow
1,greenyellow,Green
1,chartreuse,Green
1,lawngreen,Green
1,lime,Green
1,limegreen,Green
1,palegreen,Green
1,lightgreen,Green
1,mediumspringgreen,Green
1,springgreen,Green
1,mediumseagreen,Green
1,seagreen,Green
1,forestgreen,Green
1,green,Green
1,darkgreen,Green
1,yellowgreen,Green
1,olivedrab,Green
1,darkolivegreen,Green
1,mediumaquamarine,Green
1,darkseagreen,Green
1,lightseagreen,Green
1,darkcyan,Green
1,teal,Green
1,aqua,Cyan
1,cyan,Cyan
1,lightcyan,Cyan
1,paleturquoise,Cyan
1,aquamarine,Cyan
1,turquoise,Cyan
1,mediumturquoise,Cyan
1,darkturquoise,Cyan
1,cadetblue,Blue
1,steelblue,Blue
1,lightsteelblue,Blue
1,lightblue,Blue
1,powderblue,Blue
1,lightskyblue,Blue
1,skyblue,Blue
1,cornflowerblue,Blue
1,deepskyblue,Blue
1,dodgerblue,Blue
1,royalblue,Blue
1,blue,Blue
1,mediumblue,Blue
1,darkblue,Blue
1,navy,Blue
1,midnightblue,Blue
1,cornsilk,Brown
1,blanchedalmond,Brown
1,bisque,Brown
1,navajowhite,Brown
1,wheat,Brown
1,burlywood,Brown
1,tan,Brown
1,rosybrown,Brown
1,sandybrown,Brown
1,goldenrod,Brown
1,darkgoldenrod,Brown
1,peru,Brown
1,chocolate,Brown
1,olive,Brown
1,saddlebrown,Brown
1,sienna,Brown
1,brown,Brown
1,maroon,Brown
1,white,White
1,snow,White
1,honeydew,White
1,mintcream,White
1,azure,White
1,aliceblue,White
1,ghostwhite,White
1,whitesmoke,White
1,seashell,White
1,beige,White
1,oldlace,White
1,floralwhite,White
1,ivory,White
1,antiquewhite,White
1,linen,White
1,lavenderblush,White
1,mistyrose,White
1,gainsboro,Grey
1,lightgrey,Grey
1,silver,Grey
1,darkgrey,Grey
1,dimgrey,Grey
1,lightslategrey,Grey
1,slategrey,Grey
1,darkslategrey,Grey
1,grey,Grey
1,black,Black
