Null,Object_id,Hex,Color name,Size
0,466,#6b6b6b,silver,9
1,470,#686868,dimgrey,15
2,472,#aeaeae,darkslategrey,12
3,473,#151515,lightgrey,10
4,474,#828282,dimgrey,28
5,475,#a3a3a3,black,6
6,482,#212121,black,5
7,483,#333333,darkgrey,5
8,484,#838383,darkgrey,9
9,486,#d6d6d6,lightgrey,20
10,500,#616161,black,9
11,3963,#595959,lightgrey,22
12,3971,#282828,dimgrey,32
13,5896,#c5c5c5,grey,6
14,12873,#bebebe,silver,26
15,12895,#919191,darkslategrey,23
16,12899,#141414,darkgrey,19
17,12902,#eaeaea,lavender,39
18,12920,#f5f5f5,whitesmoke,19
19,12929,#827a67,rosybrown,4
20,12947,#b8b8b8,dimgrey,14
21,12950,#999999,silver,12
22,12965,#c7c7ba,dimgrey,7
23,12966,#828282,white,25
24,12997,#a5a5a5,darkslategrey,29
25,13014,#acacac,darkgrey,6
26,13020,#b6b6b6,gainsboro,17
27,232204,#9b8871,darkgrey,1
28,232207,#5e5740,tan,7
29,232209,#0e0d0c,black,33
30,232211,#4a3d26,black,4
31,232212,#715b3b,dimgrey,2
32,471,#9b9b9b,darkslategrey,42
33,485,#1c1c1c,silver,26
34,3926,#131313,black,22
35,10083,#b2b2b2,darkgrey,4
36,10084,#3e3e3e,black,9
37,3970,#141414,black,6
38,12928,#a7a7a7,darkgrey,1
39,236111,#261112,dimgrey,3
40,12857,#2a2a2a,darkgrey,11
41,12859,#c3c3c3,gainsboro,15
42,12860,#727272,dimgrey,7
43,12866,#c4cac2,dimgrey,8
44,12870,#bdbdbd,silver,6
45,12872,#cfbd76,darkseagreen,2
46,12877,#4b657e,dimgrey,34
47,12878,#161616,black,5
48,12885,#d6d6d6,darkslategrey,8
49,12889,#703a28,darkslategrey,17
50,12904,#7d7263,darkgrey,3
51,12911,#2f302a,darkolivegreen,7
52,12913,#563817,darkolivegreen,20
53,12932,#444b3e,darkolivegreen,13
54,12933,#b9a889,darkolivegreen,1
55,12939,#3f3f3f,grey,12
56,12940,#566550,dimgrey,3
57,12948,#333333,darkgrey,5
58,12959,#aeaeae,black,13
59,12962,#747474,silver,5
60,12968,#66683b,darkolivegreen,9
61,12983,#545454,whitesmoke,23
62,12994,#151718,tan,24
63,13000,#1f1f1f,lightgrey,3
64,13001,#6d6f4a,darkolivegreen,17
65,13011,#402f1e,darkolivegreen,20
66,13017,#d0d0d0,dimgrey,4
67,13018,#437360,black,13
68,13019,#131313,grey,7
69,13025,#acacac,dimgrey,8
70,13098,#868686,black,3
71,14265,#a89b81,black,13
72,14516,#695f45,black,3
73,14836,#5d502e,black,1
74,19732,#6e432b,black,5
75,10082,#6a6a6a,grey,8
76,11656,#202020,dimgrey,3
77,12658,#492823,darkslategrey,2
78,12661,#454545,lightslategrey,2
79,12662,#816555,darkslategrey,6
80,12663,#555555,dimgrey,12
81,12664,#c4bdba,grey,16
82,12665,#201f27,black,34
83,12666,#161615,black,23
84,12667,#9e7e64,grey,24
85,12668,#726247,saddlebrown,23
86,12669,#7d868f,lightslategrey,32
87,12670,#b9afa8,black,2
88,12671,#21201b,darkslategrey,3
89,12672,#724c26,silver,26
90,12673,#7d868f,lightslategrey,34
91,12674,#b2a89d,lightgrey,2
92,12675,#6b6f5c,darkolivegreen,10
93,12676,#963121,black,22
94,12677,#9d9588,rosybrown,10
95,12678,#7a926d,dimgrey,2
96,12680,#c9c9c9,black,21
97,12681,#3f2311,saddlebrown,6
98,12683,#717272,dimgrey,31
99,16584,#1f1a16,silver,29
100,16781,#b1a088,black,8
101,19056,#af9980,darkslategrey,3
102,19826,#a1613f,darkolivegreen,17
103,7499,#aea480,black,33
104,11212,#5a5343,darkslategrey,31
105,11215,#c2aea0,rosybrown,1
106,11223,#020001,black,71
107,11224,#21292b,dimgrey,47
108,13499,#6d5f43,darkolivegreen,12
109,16906,#060d0e,black,22
110,10028,#c3d6c8,grey,14
111,11370,#6a573e,darkslategrey,3
112,11379,#997841,grey,10
113,11383,#d9bc9c,darkolivegreen,2
114,10035,#8d8d8d,darkslategrey,13
115,11974,#524525,darkslategrey,2
116,11975,#d4d4d4,lavender,21
117,11976,#060302,black,3
118,11977,#d1bf86,darkslategrey,10
119,11979,#b7a86a,darkslategrey,2
120,11980,#2e210b,black,9
121,11981,#020201,black,4
122,12856,#564d51,darkslategrey,12
123,10049,#5f5848,darkolivegreen,3
124,10061,#6b7b6e,darkolivegreen,3
125,10062,#382a22,grey,2
126,10063,#705b3f,darkkhaki,13
127,10065,#989175,rosybrown,2
128,10066,#6a5b38,dimgrey,12
129,10067,#515731,saddlebrown,5
130,10068,#9d9080,darkgrey,22
131,12970,#958f7d,dimgrey,7
132,10070,#705a41,darkslategrey,4
133,10075,#11130e,peru,7
134,10076,#a1a1a1,darkslategrey,30
135,10077,#261a11,black,18
136,10080,#bea27e,darkslategrey,1
137,14931,#623629,saddlebrown,42
138,10081,#252420,darkolivegreen,3
