,Object_id,Object_type,Title,Date_started,Date_finished,Medium,Classification,Met_link,Artist_id,Dept_id
0,466,Painting,Plaque Portrait of Benjamin Franklin,1800,1883,Ivory,Paintings,http://www.metmuseum.org/art/collection/search/466,0,0
1,467,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Enamel,Paintings,http://www.metmuseum.org/art/collection/search/467,1,0
2,468,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Ivory,Paintings,http://www.metmuseum.org/art/collection/search/468,1,0
3,469,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Enamel,Paintings,http://www.metmuseum.org/art/collection/search/469,1,0
4,470,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Probably porcelain,Paintings,http://www.metmuseum.org/art/collection/search/470,2,0
5,470,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Probably porcelain,Paintings,http://www.metmuseum.org/art/collection/search/470,684,0
6,472,Painting,Portrait of Benjamin Franklin,1776,1883,Panel,Paintings,http://www.metmuseum.org/art/collection/search/472,2,0
7,472,Painting,Portrait of Benjamin Franklin,1776,1883,Panel,Paintings,http://www.metmuseum.org/art/collection/search/472,684,0
8,473,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Ivory,Paintings,http://www.metmuseum.org/art/collection/search/473,2,0
9,473,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Ivory,Paintings,http://www.metmuseum.org/art/collection/search/473,684,0
10,474,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Oil on cardboard,Paintings,http://www.metmuseum.org/art/collection/search/474,2,0
11,474,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Oil on cardboard,Paintings,http://www.metmuseum.org/art/collection/search/474,684,0
12,475,Painting,Portrait of Benjamin Franklin,1776,1883,Ivory,Natural Substances,http://www.metmuseum.org/art/collection/search/475,2,0
13,475,Painting,Portrait of Benjamin Franklin,1776,1883,Ivory,Natural Substances,http://www.metmuseum.org/art/collection/search/475,684,0
14,482,Painting,Portrait of Benjamin Franklin,1776,1883,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/482,2,0
15,482,Painting,Portrait of Benjamin Franklin,1776,1883,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/482,684,0
16,483,Painting,Portrait of Benjamin Franklin,1776,1883,Panel,Paintings,http://www.metmuseum.org/art/collection/search/483,2,0
17,483,Painting,Portrait of Benjamin Franklin,1776,1883,Panel,Paintings,http://www.metmuseum.org/art/collection/search/483,684,0
18,484,Painting,Medallion of Benjamin Franklin,1776,1883,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/484,2,0
19,484,Painting,Medallion of Benjamin Franklin,1776,1883,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/484,684,0
20,486,Painting,Portrait of Benjamin Franklin,1776,1883,Canvas,Paintings,http://www.metmuseum.org/art/collection/search/486,2,0
21,486,Painting,Portrait of Benjamin Franklin,1776,1883,Canvas,Paintings,http://www.metmuseum.org/art/collection/search/486,684,0
22,500,Painting,Portrait of Benjamin Franklin,1800,1883,Silk,Paintings,http://www.metmuseum.org/art/collection/search/500,2,0
23,500,Painting,Portrait of Benjamin Franklin,1800,1883,Silk,Paintings,http://www.metmuseum.org/art/collection/search/500,684,0
24,3963,Painting,Plaque of George Washington,1800,1830,Porcelain,Paintings,http://www.metmuseum.org/art/collection/search/3963,2,0
25,3963,Painting,Plaque of George Washington,1800,1830,Porcelain,Paintings,http://www.metmuseum.org/art/collection/search/3963,684,0
26,3971,Painting,Portrait of George Washington,1800,1830,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/3971,2,0
27,3971,Painting,Portrait of George Washington,1800,1830,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/3971,684,0
28,5896,Painting,Plaque of George Washington,1770,1800,Enamel,Paintings,http://www.metmuseum.org/art/collection/search/5896,2,0
29,5896,Painting,Plaque of George Washington,1770,1800,Enamel,Paintings,http://www.metmuseum.org/art/collection/search/5896,684,0
30,12873,Painting,Commodore Hopkins,1776,1776,Oil on glass,Paintings,http://www.metmuseum.org/art/collection/search/12873,2,0
31,12873,Painting,Commodore Hopkins,1776,1776,Oil on glass,Paintings,http://www.metmuseum.org/art/collection/search/12873,684,0
